Software version: 0.10.9 ; Calibration file: 9182501_20251128_CAL.txt
Scan start time,Bin 1.25-1.5 nm,Bin 1.5-1.7 nm,Bin 1.7-2.5 nm,Bin 2.5-5.0 nm,Bin 5.0-8.0 nm,Bin 8.0-13.07 nm,Dp >13.07 nm total number concentration
2026-01-06T05:31:31,5346.96,0,161.27,182.36,0,266.97,
2026-01-06T05:33:31,10206.86,0,735.16,310.61,110.62,0,
2026-01-06T05:35:31,5679.68,0,0,176.58,39.28,0,
2026-01-06T05:37:31,15550.14,0,0,104.21,0,127.03,
2026-01-06T05:39:31,5656.33,1705.18,0,190.55,89.62,0,
2026-01-06T05:41:31,15714.96,0,322.50,359.70,0,111.26,
2026-01-06T05:43:31,2013.33,0,528.20,0,60.01,50.35,
2026-01-06T05:45:31,16449.44,0,83.89,165.99,0,248.91,
2026-01-06T05:47:31,0,327.66,292.45,0,0,126.35,
2026-01-06T05:49:31,15999.15,0,340.32,0,460.20,0,
2026-01-06T05:51:31,9277.38,0,542.06,34.81,0,114.92,
2026-01-06T05:53:31,15703.86,0,1247.33,0,0,467.89,
2026-01-06T05:55:31,5503.68,0,277.98,103.82,0,194.76,
2026-01-06T05:57:31,9776.51,419.02,0,115.03,300.58,0,
2026-01-06T05:59:31,9876.26,0,382.30,106.79,162.48,0,
2026-01-06T06:01:31,9202.23,0,343.71,34.14,44.54,0,
2026-01-06T06:03:31,913.70,0,372.97,84.14,0,160.63,
2026-01-06T06:05:31,7374.42,2352.43,0,0,96.30,36.26,
2026-01-06T06:07:31,10394.56,0,0,71.76,0,300.72,
2026-01-06T06:09:31,15076.60,0,0,0,0,222.39,
2026-01-06T06:11:31,5107.09,1566.10,0,67.63,221.11,0,
2026-01-06T06:13:31,5211.06,2571.61,0,0,97.58,0,
2026-01-06T06:15:31,2130.12,1211.06,0,42.55,0,2.71,
2026-01-06T06:17:31,16290.68,263.79,0,242.43,0,79.91,
2026-01-06T06:19:31,6979.46,0,181.35,0,124.02,0,
2026-01-06T06:21:31,20530.60,0,0,91.77,392.42,0,
2026-01-06T06:23:31,664.02,0,187.70,0,103.74,0,
2026-01-06T06:25:31,12466.06,6.98,0,29.01,0,291.93,
2026-01-06T06:27:31,2898.53,0,439.96,54.11,0,0,
2026-01-06T06:29:31,24388.11,0,0,0,137.00,0,
2026-01-06T06:31:31,7044.23,0,8.89,110.95,0,0,
2026-01-06T06:33:31,10044.13,2068.05,0,0,223.58,0,
2026-01-06T06:35:31,9288.80,0,0,236.32,34.42,0,
2026-01-06T06:37:31,9852.55,926.44,59.95,131.48,0,0,
2026-01-06T06:39:31,3036.08,0,0,152.26,0,0,
2026-01-06T06:41:31,10250.23,0,0,120.24,0,0,
2026-01-06T06:43:31,11121.69,0,0,0,131.86,0,
2026-01-06T06:45:31,12460.03,4484.17,0,61.95,0,84.44,
2026-01-06T06:47:31,0,3417.54,22.74,98.47,13.17,0,
2026-01-06T06:49:31,16935.37,0,0,0,128.17,0,
2026-01-06T06:51:31,5540.99,0,0,198.38,0,20.81,
2026-01-06T06:53:31,10427.19,1141.46,353.06,191.58,0,73.34,
2026-01-06T06:55:31,3466.49,2351.97,0,106.61,0,102.46,
2026-01-06T06:57:31,8100.23,698.35,439.10,141.62,88.79,0,
2026-01-06T06:59:31,2118.96,0,106.50,77.34,0,148.62,
2026-01-06T07:01:31,10430.59,576.02,0,0,58.24,215.87,
2026-01-06T07:03:31,5763.21,0,543.06,0,0,127.73,
2026-01-06T07:05:31,12740.42,1354.44,455.96,0,26.85,0,
2026-01-06T07:07:31,9895.83,277.62,0,0,0,176.54,
2026-01-06T07:09:31,19720.89,0,0,42.94,0,334.10,
2026-01-06T07:11:31,10902.37,0,81.86,0,222.45,0,
2026-01-06T07:13:31,8953.34,755.03,72.41,0,263.04,0,
2026-01-06T07:15:31,0,111.96,510.45,41.78,140.27,0,
2026-01-06T07:17:31,23647.72,0,218.68,218.10,0,128.31,
2026-01-06T07:19:31,15089.76,0,0,0,0,35.81,
2026-01-06T07:21:31,18639.83,0,30.25,69.25,0,85.07,
2026-01-06T07:23:31,12032.59,0,0,119.49,0,138.66,
2026-01-06T07:25:31,12020.14,1369.81,0,0,143.71,40.93,
2026-01-06T07:27:31,10905.63,128.69,0,16.77,0,72.37,
2026-01-06T07:29:31,10834.11,2990.64,0,0,0,530.56,
2026-01-06T07:31:31,13857.44,968.20,0,57.92,0,0,
2026-01-06T07:33:31,15900.56,512.36,0,169.35,0,153.26,
2026-01-06T07:35:31,5515.63,0,259.76,114.82,0,0,
2026-01-06T07:37:31,15835.17,1252.63,0,188.83,52.86,0,
2026-01-06T07:39:31,1195.36,462.65,478.19,147.00,32.71,0,
2026-01-06T07:41:31,18346.90,0,66.07,153.80,0,148.79,
2026-01-06T07:43:31,865.84,2482.84,0,95.54,78.12,0,
2026-01-06T07:45:31,14316.92,0,473.98,78.44,288.48,0,
2026-01-06T07:47:31,6035.08,0,0,252.08,73.43,0,
2026-01-06T07:49:31,9441.30,0,484.55,263.20,0,0,
2026-01-06T07:51:31,2443.74,0,88.89,245.91,0,44.08,
2026-01-06T07:53:31,8964.03,3566.65,0,129.05,73.25,106.57,
2026-01-06T07:55:31,6379.10,0,85.34,264.83,0,87.00,
2026-01-06T07:57:31,14924.76,0,1143.68,172.43,18.24,57.05,
2026-01-06T07:59:31,4409.41,0,44.34,229.71,124.15,0,
2026-01-06T08:01:31,14757.54,5051.88,0,11.81,0,62.53,
2026-01-06T08:03:31,14358.87,0,111.62,137.77,34.26,12.45,
2026-01-06T08:05:31,20290.16,0,0,348.01,52.94,0,
2026-01-06T08:07:31,12905.68,0,0,238.27,0,303.80,
2026-01-06T08:09:31,18938.74,0,601.21,101.80,206.37,39.24,
2026-01-06T08:11:31,9659.25,0,0,163.83,131.46,0,
